runner,request,entry,compiler_arguments,status,numeric,repetitions,cold_median_us,cold_median_ms,cold_gop_s,cold_melements_s,melements_s,same_generated_c,stable_final_replay,reason
weft-mul-mat.sh,k1 q1_0 prefill,mul_mat/q1_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=2 --meta NR=4 --auto-unroll=1 --auto-pipeline-depth=1,UNCHANGED_REJECTION,,10,,,,,,,,error: 'weft_riscv.rvv_storage_window' op layered RVV storage window requires one byte-aligned contiguous lane window inside a storage layer
weft-mul-mat.sh,k1 q2_k decode,mul_mat/q2_k_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=8 --auto-pipeline-depth=1,PASS,within-tolerance,10,9828.155,,3.414113,,,True,True,
weft-mul-mat.sh,k1 q2_k prefill,mul_mat/q2_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=32 --meta MR=1 --meta NR=2 --auto-lmul-eighths=8 --auto-unroll=4 --auto-pipeline-depth=1,PASS,within-tolerance,10,1465716.109,,2.930286,,,True,True,
weft-mul-mat.sh,k1 q3_k decode,mul_mat/q3_k_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=16 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,11660.283,,2.877669,,,True,True,
weft-mul-mat.sh,k1 q3_k prefill,mul_mat/q3_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=8 --meta MR=1 --meta NR=1 --auto-lmul-eighths=32 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,1622233.522,,2.647564,,,True,True,
weft-mul-mat.sh,k1 q4_0 decode,mul_mat/q4_0_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,13118.513,,2.557792,,,True,True,
weft-mul-mat.sh,k1 q4_0 prefill,mul_mat/q4_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=4 --meta NR=2 --auto-unroll=1 --auto-pipeline-depth=2,PASS,within-tolerance,10,1810538.726,,2.372204,,,True,True,
weft-mul-mat.sh,k1 q4_1 decode,mul_mat/q4_1_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,14940.007,,2.245945,,,True,True,
weft-mul-mat.sh,k1 q4_1 prefill,mul_mat/q4_1.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=4 --meta NR=2 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,2098250.505,,2.046928,,,True,True,
weft-mul-mat.sh,k1 q4_k decode,mul_mat/q4_k_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=8 --auto-pipeline-depth=1,PASS,within-tolerance,10,9387.185,,3.574494,,,True,True,
weft-mul-mat.sh,k1 q4_k prefill,mul_mat/q4_k_staged.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=64 --meta KC=512 --meta MC=8 --meta MR=2 --auto-lmul-eighths=16 --auto-unroll=2 --auto-pipeline-depth=1,PASS,within-tolerance,10,1064968.351,,4.032953,,,True,True,
weft-mul-mat.sh,k1 q5_0 decode,mul_mat/q5_0_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=8 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,14721.416,,2.279294,,,True,True,
weft-mul-mat.sh,k1 q5_0 prefill,mul_mat/q5_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=4 --meta NR=2 --auto-lmul-eighths=8 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,1487609.868,,2.887160,,,True,True,
weft-mul-mat.sh,k1 q5_1 decode,mul_mat/q5_1_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=8 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,16269.984,,2.062352,,,True,True,
weft-mul-mat.sh,k1 q5_1 prefill,mul_mat/q5_1.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=4 --meta NR=2 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,2292024.600,,1.873875,,,True,True,
weft-mul-mat.sh,k1 q5_k decode,mul_mat/q5_k_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,19674.266,,1.705499,,,True,True,
weft-mul-mat.sh,k1 q5_k prefill,mul_mat/q5_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=2 --meta NR=4 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,1734734.692,,2.475864,,,True,True,
weft-mul-mat.sh,k1 q6_k decode,mul_mat/q6_k_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths=32 --auto-unroll=2 --auto-pipeline-depth=1,PASS,within-tolerance,10,13665.220,,2.455462,,,True,True,
weft-mul-mat.sh,k1 q6_k prefill,mul_mat/q6_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=64 --meta MC=16 --meta MR=4 --meta NR=2 --auto-lmul-eighths=32 --auto-unroll=4 --auto-pipeline-depth=1,PASS,within-tolerance,10,2059493.811,,2.085448,,,True,True,
